Year	d18O	Filtered d18O
1842	-3.178	-4.603
1843	-4.576	-4.594
1844	-5.248	-4.605
1845	-4.155	-4.596
1846	-4.222	-4.602
1847	-5.127	-4.625
1848	-4.101	-4.647
1849	-4.852	-4.679
1850	-4.038	-4.733
1851	-5.431	-4.803
1852	-5.091	-4.852
1853	-4.533	-4.882
1854	-5.637	-4.905
1855	-6.086	-4.869
1856	-3.634	-4.783
1857	-4.237	-4.737
1858	-4.677	-4.747
1859	-4.296	-4.784
1860	-3.696	-4.878
1861	-6.389	-5.008
1862	-6.006	-5.076
1863	-4.393	-5.079
1864	-6.072	-5.069
1865	-4.882	-5.029
1866	-4.739	-4.977
1867	-4.843	-4.943
1868	-3.879	-4.947
1869	-4.656	-5.016
1870	-6.126	-5.105
1871	-4.997	-5.155
1872	-5.125	-5.189
1873	-6.313	-5.203
1874	-4.527	-5.178
1875	-4.510	-5.176
1876	-6.242	-5.196
1877	-5.763	-5.166
1878	-4.923	-5.084
1879	-3.711	-5.029
1880	-6.583	-5.003
1881	-4.742	-4.936
1882	-5.265	-4.829
1883	-3.456	-4.736
1884	-4.516	-4.702
1885	-3.819	-4.732
1886	-5.933	-4.783
1887	-4.880	-4.798
1888	-4.405	-4.789
1889	-3.919	-4.820
1890	-5.006	-4.903
1891	-6.110	-4.976
1892	-4.634	-4.998
1893	-5.146	-5.006
1894	-4.681	-5.025
1895	-5.740	-5.040
1896	-5.209	-5.024
1897	-3.923	-5.009
1898	-6.187	-5.014
1899	-6.200	-4.956
1900	-3.546	-4.838
1901	-3.889	-4.777
1902	-5.767	-4.767
1903	-3.397	-4.764
1904	-5.037	-4.798
1905	-6.446	-4.814
1906	-4.787	-4.741
1907	-3.502	-4.653
1908	-4.484	-4.625
1909	-5.437	-4.613
1910	-3.879	-4.580
1911	-4.480	-4.564
1912	-5.981	-4.533
1913	-3.392	-4.459
1914	-3.261	-4.431
1915	-3.652	-4.510
1916	-5.899	-4.630
1917	-4.565	-4.711
1918	-5.795	-4.741
1919	-4.014	-4.740
1920	-3.924	-4.770
1921	-6.108	-4.829
1922	-5.049	-4.840
1923	-4.058	-4.828
1924	-4.409	-4.860
1925	-5.150	-4.929
1926	-5.192	-4.993
1927	-5.817	-5.021
1928	-5.954	-4.980
1929	-5.255	-4.860
1930	-2.908	-4.743
1931	-3.956	-4.726
1932	-3.520	-4.827
1933	-6.270	-4.981
1934	-6.980	-5.054
1935	-3.372	-5.041
1936	-5.578	-5.049
1937	-5.628	-5.059
1938	-4.460	-5.041
1939	-4.573	-5.051
1940	-5.639	-5.085
1941	-3.968	-5.132
1942	-5.369	-5.220
1943	-6.911	-5.289
1944	-6.462	-5.242
1945	-4.479	-5.109
1946	-4.918	-4.979
1947	-3.708	-4.897
1948	-5.024	-4.872
1949	-4.069	-4.891
1950	-5.561	-4.931
1951	-6.735	-4.914
1952	-5.030	-4.784
1953	-2.957	-4.638
1954	-3.831	-4.590
1955	-4.575	-4.623
1956	-3.521	-4.707
1957	-4.413	-4.863
1958	-7.208	-5.016
1959	-5.734	-5.054
1960	-3.081	-5.052
1961	-5.712	-5.117
1962	-5.815	-5.186
1963	-6.346	-5.179
1964	-5.197	-5.095
1965	-4.569	-4.987
1966	-4.068	-4.920
1967	-5.840	-4.881
1968	-4.835	-4.815
1969	-3.239	-4.762
1970	-5.837	-4.759
1971	-5.831	-4.711
1972	-3.468	-4.608
1973	-4.273	-4.542
1974	-3.627	-4.540
1975	-5.140	-4.577
1976	-4.862	-4.602
1977	-4.563	-4.601
1978	-3.879	-4.613
1979	-4.929	-4.656
1980	-3.893	-4.725
1981	-6.155	-4.795
1982	-5.755	-4.793
1983	-3.386	-4.743
1984	-5.346	-4.722
1985	-5.182	-4.690
1986	-3.054	-4.659
1987	-4.354	-4.705
1988	-6.071	-4.776
1989	-4.138	-4.807
1990	-4.590	-4.847
1991	-6.032	-4.887
1992	-4.746	-4.879
1993	-5.140	-4.842
1994	-5.443	-4.776
1995	-3.533	-4.699
1996	-4.721	-4.663
1997	-4.387	-4.659
1998	-3.255	-4.704
1999	-5.077	-4.822
2000	-4.966	-4.963
